category,name,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,hod_designation,hod_name,hod_contact,cp_designation,cp_name,cp_contact,gi_telephone,gi_fax,gi_email,gi_website,misc_info,services - services
Government Banks,HDFC Bank of Sri Lanka,P.O. Box 2085Sir Chittampalam A Gardiner MawathaColombo 02,,,,,Chairman,Mr. Mr. R. J. De Silva,+94 11 2 433 901, AGM  (Business Development & Marketing) ,Mrs. H.S.Gunathilake , +94 112 543 096, +94 112 356 800:+94 112 447 354:                 +94 112  447 314: +94 115 73 73 73: , +94 112 448 392: +94 112 2356 827: +94 112 432 190, hdfc@hdfc.lk,http://www.hdfc.lk,,Children's Savings : General Savings : Investment Plans : Children's Investment Plans : Kedella Housing Loan : EPF Loan - Shrama Udana : Sirisara Housing Loan : Situ Sevana -  Lifestyle Loan : Diri Sevana - Loan for Mobile Banking Customers : HDFC Gold Loan : HDFC Lifestyle Loan
Government Banks,National Savings Bank,"Head Office""Savings House""255", Galle Road,Colombo 3,Sri Lanka,,Chairman,Mr. Aswin De Silva,0112573334, Asst. Genaral Managar (Administration) ,Mr.E.M.M.G. Ekanayake , 0112372357, 0112379379 (Call Centre), 0112379333, nsbgen@nsb.lk: ,http://www.nsb.lk,Location Map,Savings Accounts : Fixed Deposits : Accounts for Childrens : Account for Teenagers : Accounts for Ladies : Accounts for Senior Citizens : Foreign Currency Accounts : Housing Loan Schemes : Personal Loans Schemes : Card Products : Ridee Rekha : Safety Deposit Locker Facility : Gift Tokens : Bill Payment Service : Correspondent Banks/Agents : Foreign Representatives : Eurogiro Postal Network : NSB Joins SWIFT : NSB Fund Management Company Ltd : Loan Centers : NSB Call Centre
Boards,Sri Lanka Tea Board,No.574, Galle Road,Colombo 3.,,,,,,  , , , 011-2587814, 011-2589132, ,http://www.pureceylontea.com,,Factory Registration : Permits for Leaf Dealers : Permits for refuse tea : Payment for green leaf suppliers : Quality of the Factory : Tea Exporter Registration
Authorities,Vocational Training Authority of Sri Lanka,354/2," ""Nipunatha Piyasa""",Elvitigala Mawatha,Narahenpita,Colombo 05.,Chairman,Mr. Priyadharshana Rathnayake,0112581904, System Analyst ,Miss. P.L.M.K.Bandara , +94 112 597186, +94-11-2596516-7, +94-11-2581914, chairman@vtasl.gov.lk,http://www.vtasl.gov.lk,,"Providing vocational training for the youths : Facilitating to the vocational training graduates for further training ,job placement or self employ : Conducting career guidance and counseling programs : Entrepreneurship Development programs : Conducting Trade Test according to  the requirements of institutions : Obtaining Necessary Services under Different Field from the Production Units : Vocational Skills for Public and Private Sector Institutions"
Authorities,Tourism Development Authority of Sri Lanka,No 80,Galle Road,Colombo 03,,,Chairman,Dr. Nalaka Godahewa,0112437759, Director/ICT ,Mr Udana Wickramasinghe , 0112426923, 0112437059: 0112437060:, 0112437953, chairman@srilanka.travel,http://www.sltda.gov.lk,,Bandarawela National Holiday Resort : Nuwara Eliya National Holiday Resort : Standards and Quality Assurance : Lesser Known Attraction Project : Colombo City Tour : Staff Officer in charge of the Service –  : Domestic Tourism and Resort Management  : Resort Reservation  : Kataragama National Holiday Resort
Authorities,Urban Development Authority,"6th and 7th Floors""SETHSIRIPAYA""Battaramulla",,,,,Chairman,Mr. Nimal Perera,+94-011-2877471 / 73, Director (GIS) ,Mrs. Pushpa Gamage , +94-011-2872390, 011-2875916 to 2875920: 011-2873644: 011-2873647: 011-2873649: 011-2873651: 011-2873652: 011-2875333, 011-2872390, info@uda.lk,http://www.uda.lk%20,,Obtaining a Permit for Development Activities :  Obtaining Preliminary Planning Clearance for Development Activities : Obtaining Preliminary Planning Clearance for Change of Use : Obtaining Preliminary Planning Clearance for BOI Projects : Obtaining Preliminary Planning Clearance for Hotel Projects : Obtaining Preliminary Planning Clearance for Telecommunication Towers : Obtaining planning clearance for the development of low-lying lands and paddy lands : Removal of unauthorized constructions : Obtaining lands belong to urban development authority for development activities : Claiming of compensation by owners of all lands acquired : Obtaining particulars of settlers in the acquired and vested lands of UDA : Filing action by legal division in terms of the urban development act : Preparation of deeds by the legal division in terms of the urban development authority act : Preparation of agreements by the legal division in terms of the urban development act : Obtaining a resolution for the environmental Impacts from the development projects : Obtaining Consultancy Services for Projects : Obtaining Kala duwa in the Bairai lake on rent basis for various requirments
Departments,Department of Wildlife Conservation,811A, Jayanthipura, Battaramulla,,,,,,  , , , +94 112 888585, , director@dwc.dov.lk,http://www.dwc.gov.lk,,"Reservation of Circuit Bungalows : Permits for Export and Import of Wildlife - CITES Permits/FFPO Permits : Compensation Payment for Human Deaths, Injuries and Property Loss by Elephants : Registration of Domesticated Elephants/Tusks : Issuing Crackers for Public : Mega Constructions in Buffer Zones of National Reserves : CITES Permits : CITES Permits"
Departments,Department of Commerce  ,4th Floor,Rakshana Mandiraya,21,Vaxuhall Street,Colombo 02.,Director General of Commerce,Mrs. Sonali Wijeratne,+94 11 2 430068, Assistant Director ,Mr. L.G. Dissanayake , +94 11 2436114, +94 11 2 329733 +94 11 2 436114  +94 11 2 327191, +94 11 2 430233 +94 11 2 382490, fortrade@doc.gov.lk,http://www.doc.gov.lk,Location Map,Trade Promotion : Trade Complaints (only for exports) : WTO Reference Centre : Issuance of  Certificates of Origin (COOs) : Issuance of Recomendations for Residance Visa(RV)
Departments,Department of the Commissioner General of Samurdhi,No 17,Barnce Place,Colombo 07,,,Commissioner General of Samurdhi,Mrs Chandra Wickramasinghe,+94-11-2695021, Assistant Commissioner (Development) ,Mr.T.A.Ranasinghe , 011-2696421, +94-11 - 2693993: +94-11-2673886, +94-11 - 2691017: +94-11-2673775, samurdhicom@gmail.com : thilankaanuradha@gmail.com,http://www.samurdhidept.gov.lk,Location Map,"Obtain Samurdhi Stamps : Obtain Nutrition Stamp - Rs.200/- : Obtain Poshana Malla : Samurdhi Social Protection Fund : Sipdora Scholerships : Obtain a alternative stamp (Missed, Damaged, Lost) : Obtain Authorized Dealership. : In a situation where Beneficiary changes his/her residence : Officers' Information"
Departments,Department of Technical Education & Training,P.O.Box 557, Olcott Mawatha,Colombo 10,,,Director General,S. Balasubramaniam,+94 - 11 - 2348896 / +94 - 11 - 2348897, Director General ,S. Balasubramaniam , +94 - 11 - 2348896 / +94 - 11 - 2348897, ,  +94 - 11 -2449136, ,http://www.dtet.gov.lk,,Improving of International Cooperation for Development of Technical Education. : Communication with World Community in Coordinating with IVETA. : Build the Cordination with Secondry Education Sector in Giving Priority for Inovations. : Development Programmes for Private Public Partnership : Implementation of Technical Education Development Programmes - Specialized for North East Provinces : Enrollment of Students for the Courses of Colleges of Technology/Technical Colleges : Sit for Exams and Obtaining of Certificates : Carrier Guidance and Counseling : Placement for Employment : Awareness Programme for Entrepreneurship Development : Certificates for Vocational Competencies
Ministries,State Ministry of Fisheries,New SecretariatMaligawatteColombo-10,,,,,Secretary,To Be Appointed,"
					",  , , , +94 11 2 446183 / 5, +94 11 2 446184, secfisherieslk@gmail.com: secretary@fisheries.gov.lk,http://www.fisheries.gov.lk,Location Map,
Ministries,State Ministry of Finance,The Secretariat,Colombo 01,,,,Secretary,To Be Appointed,Tel :- +94 11 2 484827, Statisical Officer(ICT) ,W K Senarath  Dayawansa , +94 11 2484893, +94 11 2 484500 / +94 11 2 484600 / +94 11 2 484700, +94 11 2 449823, info@mo.treasury.gov.lk,http://www.treasury.gov.lk,Location Map,
Ministries,State Ministry of Defence,15/5,Baladaksha MawathaColombo -03,,,,Secretary,Mr. A. P. G. Kithsiri,+94 11 2438879,  , , , +94 11 2 430860 to +94 11 2 430879, +94 11 2 446300, webinfo@defence.lk: secretary@defence.lk,http://www.defence.lk,Location Map,
Ministries,State Ministry of Education,"""Isurupaya""Battaramulla",,,,,Secretary,To Be Appointed,Tel : +94 11 2 784870,  , , , +94 11 2 785141 - +94 11 2 785150, +94 11 2 785617, ,http://www.moe.gov.lk,Location Map,
Ministries,State Ministry of Children’s Affairs,6th Floor,Sethsiripaya II Stage,Battaramulla,,,Secretary,To Be Appointed,"
					",  , , , +94 11 2 187141, +94 11 2 187141, ,http://,Location Map,
Ministries,Ministry of Urban Development and Water Supply,No.35,"""Lakdiya Medura""",New Parliament Road , Pelawatta,Battaramulla.,Secretary,To Be Appointed,Tel : +94 11 2 177212,  , , , +94 11 2 177240 / +94 11 2 177241, +94 11 2 177242, secretary@watermin.gov.lk: info@watermin.gov.lk,http://www.mwsd.gov.lk,Location Map,
Ministries,Ministry of Women and Children’s Affairs,3rd & 5th Floors,2nd Stage,"""Sethsiripaya""",Battaramulla,,Secretary,Mrs. Chandrani Senarathne,Tel :- +94 11 2 187246, Director  (Planning) ,Mr.J.P.S.Jayasinghe , +94 11 2187275, +94 11 2 186057, +94 11 2 187249,  secycdwe@sltnet.lk,http://www.childwomenmin.gov.lk,Location Map,
Ministries,"Ministry of Upcountry New Villages, Estate Infrastructure& Community Development",No. 45,St Michael’s Road,Colombo -03,,,Secretary,Mrs. R. Nadarasapille,+94 11 2 441849,  , , , +94 11 2 541369, , smpid@sltnet.lk,http://www.mpid.gov.lk,Location Map,"Provide  House to the  Plantation Community : Supporting in Obtaining the Land Titles for the Plantation Community : Infrastructure Development in the Lagging Regions of Plantation Areas : Social Development of the Plantation Community : Livelihood Development, Self Employment and Income Generation"
Ministries,Ministry of Transport & Civil Aviation,7th Floor, Sethsiripaya, Stage II, Battaramulla.,,Secretary,Mr. G.S. Vithanage,0112 187 233, Development Assistant  ,Mr. Channa Dias , 0112 187 200 / 0112 187 201, 0112 187 200 / 0112 187 201, 0112 865 093 / 0112 187 226, mintransport@sltnet.lk/secmintransport@gmail.com,http://www.transport.gov.lk,Location Map,Sri Lanka Railways : Sri Lanka Transport Board : National Transport Commission : Department of Motor Traffic : Civil Aviation Authority : National Transport Medical Institute : National Council for Road Safety : Airport & Aviation Services (Sri Lanka) Limited : Lakdiva Engineering Company (Pvt) Ltd
Ministries,Ministry of Telecommunication and Digital Infrastructure,79/1,5th Lane,Colombo 03.,,,Secretary,Mr. Wasantha Deshapriya,+94 11 2 301713,  , , , +94 11 2 577777, +9411 2 301710, info@mtdi.gov.lk,http://www.mtdi.gov.lk,Location Map,
Ministries,"Ministry of Technology, Technical Education and Employment",No.408,Galle Road,Colombo-03,,,Secretary,Mrs. R. Wijialudchumi,Tel : +94 11 2 372277,  , , , +94 11 2 374700 / +94 11 2 372281 / +94 11 2 372274, +94 11 2 374765, mstsasad@sltnet.lk,http://www.motr.gov.lk,,
Ministries,Ministry of Sports,No 9,Philip Gunawardana Road,Colombo- 07,,,Secretary,Dr. D. M. R. B. Dissanayake,"T : +94 11 2 684204 , 2 671404", Director ( Planning ) ,Ms. Kamani Ajantha Sooriyarachchi , +94 11 3 137495, +94 11 2 685390: +94 11 2 697934, +94 11 2 689161, secretary@sportsmin.gov.lk,http://www.sportsmin.gov.lk,Location Map,
Ministries,"Ministry of Rehabilitation, Resettlement & Hindu Religious Affairs",No. 146, Galle Road,Colombo-03.,,,Secretary,Mr. V. Sivagnanasothi,Tel : +94 11 2 395524,  , , , +94 11 2395521: +94 11 2436197, +94 11 2395517, secretary@resettlementmin.gov.lk; resettlementmin@yahoo.com,http://www.resettlementmin.gov.lk,Location Map,
Ministries,Ministry of Public Administration and Management,Independence SquareColombo -07,,,,,Secretary,Mr. J. Dadallage,T : +94 11 2 695738,  , , , +94 11 2166000: +94 11 2696211: +94 11 2696212: +94 11 2696213, +94 11 2695279, sas-it@pubad.gov.lk,http://www.pubad.gov.lk,Location Map,
Ministries,Ministry of Skills Development and Vocational Training,"""Nipunatha Piyasa""354/2",Elvitigala Mawatha,Colombo-05,,,Secretary,Mr. P. Ranepura,"Tel : +94 11 2597803, 11 2136540",  , , , +94 11 - 2597801, +94 11 2 597804, sec@youthskillsmin.gov.lk,http://www.youthskillsmin.gov.lk,Location Map,CGTTI : Department of Technical Education & Training (DTET) : National Center for Leadership Development(NCLD) : National Apprentice & Industrial Training Authority (NAITA) : National Human Resource Development Council (NHRDC)  : National Institute of Business Management (NIBM)  : National Institute of Fisheries & Nautical Engineering (NIFNE) : National Youth Awards Authority (NYAA)  : National Youth Services Council (NYSC)  : Sri Lanka Institute of Printing (SLIP)  : Skills Development Fund Ltd. (SDFL) 	 : Tertiary & Vocational Education Commission (TVEC) : University of Vocational Technology (UNIVOTEC) : Vocational Training Authority (VTA) 	 : National Youth Corps (NYC)  : Youth  Services Company  Ltd. (YSCo. Ltd)  : National Youth  Services Corporative  Ltd. (NYSCO) : National School of Business Management Limited (NSBM)
Ministries,Ministry of Rural Economic Affairs,No 780,Maradana Road,Colombo 10.,,,Secretary,Mrs. D. K. R. Ekanayake,Tel : +94 11 2 669301, Development Assistant ,Mr. N.K.P. Jayantha , +94 11 2 669269, +94 11 2 669280: +94 11 2 669269: +94 11 2 689360: +94 11 2 689361, +94 11 2 669281, secofficetised@sltnet.lk,http://www.tisedmin.gov.lk,"No: 45, 
St Michael’s Road,
Colombo 03. : Location Map",Kithul Development  Support : Facilitating technology transfer  training and new  design programmes  for MSMI : Facilitation of access to scarce raw materials for MSMIs : Facilitate access to banking credit to cottage industrialists : Facilitate marketing support for SMEs : Entrepreneurship Development Support : Palmyrah Development Support  : Expansion of  Fishnet Production  : Handicraft Design Training  : Cross Cutting Services : Administration /  Finance / Planning
Ministries,Ministry of Power and Renewable Energy,No:72,Ananda Coomarswamy Mawatha,Colombo 07.,,,Secretary,Dr. B. M. S. Batagoda,Tel : +94 11 2 574918, Assistant Secretary ,Mr. B. S. Kekulawala , +94 11 2 564746, +94 11 2 574922, +94 11 2 574743, elecomplaints@sltnet.lk,http://www.powermin.gov.lk,Location Map,
Ministries,"Ministry of Post, Postal Services & Muslim Religious Affairs",6th & 7th Floors,Posts Head Office Building,D R Wijewardena Mawatha,Colombo-10,,Secretary,Mr. D.G.M.V Hapuarachchi,Tel : +94 11 2 445333 / 2 445111, Assistant Secretary (Development) ,Ms.K.P.L.Roshini , +94 11 2 422316, +94 11 2422591: +94 11 2422592: +94 11 2422593, +94 11 2323465: +94 11 2541531, secretary.mps@slpost.lk: min.info@slpost.lk,http://www.minpost.gov.lk,Location Map,
Ministries,Ministry of Plantation Industries,8th, 10th & 11th Floors,Sethsiripaya Stage II,Battaramulla,,Secretary,Mr. Anura Jayawickrema,Tel : 0094 112 186 200,  , , , +94 11 2 186053, , secypi@sltnet.lk,http://www.plantationindustries.gov.lk,Location Map,
Ministries,Ministry of Ports & Maritime Affairs,No 19,Chaithya Road,Colombo 01.,,,Secretary,Mr. L P Jayampathy,Tel : +94 11 2 320252,  , , , +94 11 2 439352, , ,http://,Location Map,
Ministries,Ministry of Parliamentary Reform and Mass Media,Parliamentary Reform Division464 B,Pannipitiya Road,Pelawatte,Battaramulla,,Secretary,Mr. Nimal Bopage,"

+94 11 2 786966, +94 11 2 786967", Senior Assistant Secretary ,Ms. Hema Perera , Tel : +94 11 2 786974 F : +94 11 2 786974, +94 11 2 786988: +94 11 2 786966: +94 11 2 786967: +94 11 2 513389: +94 11 2 513459: +94 11 2 513460, +94 11 2 786968: +94 11 2 513365 +94 11 2 513462, mdpa@sltnet.lk; parsec@sltnet.lk,http://www.minparliament.gov.lk,"Mass Media Division
No 163,
Kirulapone Mawatha,
Polhengoda,
Colombo 05. : Location Map",
Ministries,Ministry of Mahaweli Development and Environment,"""Sobadam Piyasa""",,,,,Secretary,Mr. Anura Dissanayake,Tel :-+94 11 2 034121, ICT Officer ,Mr. E.N.U.K. Rodrigo , +94 11 2 034177, +94 11 2 034100, +94 11 2 879945, it@mmde.gov.lk,http://www.mmde.gov.lk%20,"No. 416/C/1, Robert Gunawardana Mawatha, : Battaramulla, : Sri Lanka : Location Map",
Ministries,Ministry of National Policy and Economic Affairs,"""Miloda""(Old Times Building)",1st Floor,Bristol Street,Colombo 01,,Secretary,Mr. M I M Rafeek,"
					",  , , , +94 11 301 0777  /  +94 11 232 2867, +94 11 247 3643 / +94 11 2339732, info@mnpea.gov.lk,http://www.mnpea.gov.lk,Location Map,
Ministries,Ministry of Petroleum & Petroleum Gas,No.80 Sir Earnest de Silva mawathaColombo 07,,,,,Secretary,Mrs. W. S. Karunaratne,Telephone : +94 11 2 370130,  , , , +94 11 2 370032 / +94 11 2 370033 / +94 11 2 564355 / +94 11 2 354363, +94 11 2 564362 / +94 11 2 370032: +94 11 2 370033, ,http://,Location Map,
Ministries,Ministry of Law and Order and Prisons Reform,13th Floor,‘Sethsiripaya’ (Stage II),Battaramulla,,,Secretary,Mr. Jagath Wijeweera,"
					",  , , , +94-112-186101 - 4 , +94-112-186109, info@lawandorder.lk,http://www.lawandorder.lk,Location Map,
Ministries,Ministry of Lands,"""Mihikatha Medura""",Land Secretariat,No.1200/6,Rajamalwatta Avenue,Battaramulla.,Secretary,Mr.W.H.Karunarathne,Tel : +94 11 2888907,  , , , +94 11 2797500, +94 11 2887445, seclme@sltnet.lk,http://www.landmin.gov.lk,Location Map,
Ministries,Ministry of Labour and Trade Union Relations,P.O. Box .1519,Labour SecretariatNarahenpitaColombo-05,,,,Secretary,Mr. S M Gotabaya Jayaratne,+94 11 2 368164, Senior Assistant Secretary (Admin) ,Mr.R.P.A.S. Kumarasinghe , +94 11 2586337, +94 11 2581991, +94 11 2582938: +94 11 2368165: +94 11 2368200, labourministrysrilanka@gmail.com,http://www.labourmin.gov.lk,Location Map,Publications
Ministries,Ministry of Justice,Superior Courts ComplexColombo -12,,,,,Secretary,Mrs. W.M.M.R.Adikari,Tel: (+94) 112 449 959/112 323 979, Administrative Officer ,Mrs. L.P.U.M. Liyanage , +94 11 2 329146, +94 11 2 323022, +94 11 2 320785, ao[at]moj[dot]gov[dot]lk / info[at]moj[dot]gov[dot]lk,http://www.moj.gov.lk%E2%80%8B,Location Map,
Ministries,Ministry of Housing and Construction,2nd Floor,“Sethsiripaya”,Sri Jayawardenepura Kotte,Battaramulla,,Secretary,Mr. Bernard Wasantha,Tel :- +94 11 2 862225, Senior Assistant Secretary ,Mr. A M R J K Jayasinghe , +94 11 2 867947, +94 11 2 882412 / +94 11 2 861587, +94 11 2 867952 / +94 11 2 888151, info@houseconmin.gov.lk: sas@houseconmin.gov.lk,http://www.houseconmin.gov.lk,Location Map,
