_ - category - category,_ - name - name,_ - gi_fax,_ - cp_name,_ - gi_email,_ - cp_contact,_ - gi_website,_ - gi_telephone,_ - cp_designation,_ - address_line_4,_ - address_line_2,_ - address_line_3,_ - address_line_1,_ - hod_designation - hod_designation,_ - hod_name - hod_name,_ - hod_contact - hod_contact,_ - services - services
Ministries,Ministry of Skills Development and Vocational Training,+94 11 2 597804, ,sec@youthskillsmin.gov.lk,[u' '],['http://www.youthskillsmin.gov.lk'],+94 11 - 2597801,  ,,Elvitigala Mawatha,Colombo-05,"""Nipunatha Piyasa""354/2",Secretary,Mr. P. Ranepura,"Tel : +94 11 2597803, 11 2136540",CGTTI : Department of Technical Education & Training (DTET) : National Center for Leadership Development(NCLD) : National Apprentice & Industrial Training Authority (NAITA) : National Human Resource Development Council (NHRDC)  : National Institute of Business Management (NIBM)  : National Institute of Fisheries & Nautical Engineering (NIFNE) : National Youth Awards Authority (NYAA)  : National Youth Services Council (NYSC)  : Sri Lanka Institute of Printing (SLIP)  : Skills Development Fund Ltd. (SDFL) 	 : Tertiary & Vocational Education Commission (TVEC) : University of Vocational Technology (UNIVOTEC) : Vocational Training Authority (VTA) 	 : National Youth Corps (NYC)  : Youth  Services Company  Ltd. (YSCo. Ltd)  : National Youth  Services Corporative  Ltd. (NYSCO) : National School of Business Management Limited (NSBM)
Departments,Department of Wildlife Conservation,, ,director@dwc.dov.lk,[u' '],['http://www.dwc.gov.lk'],+94 112 888585,  ,, Jayanthipura, Battaramulla,811A,,,,"Reservation of Circuit Bungalows : Permits for Export and Import of Wildlife - CITES Permits/FFPO Permits : Compensation Payment for Human Deaths, Injuries and Property Loss by Elephants : Registration of Domesticated Elephants/Tusks : Issuing Crackers for Public : Mega Constructions in Buffer Zones of National Reserves : CITES Permits : CITES Permits"
Departments,Department of the Commissioner General of Samurdhi,+94-11 - 2691017: +94-11-2673775,Mr.T.A.Ranasinghe ,samurdhicom@gmail.com : thilankaanuradha@gmail.com,[u' 011-2696421'],['http://www.samurdhidept.gov.lk'],+94-11 - 2693993: +94-11-2673886, Assistant Commissioner (Development) ,,Barnce Place,Colombo 07,No 17,Commissioner General of Samurdhi,Mrs Chandra Wickramasinghe,+94-11-2695021,"Obtain Samurdhi Stamps : Obtain Nutrition Stamp - Rs.200/- : Obtain Poshana Malla : Samurdhi Social Protection Fund : Sipdora Scholerships : Obtain a alternative stamp (Missed, Damaged, Lost) : Obtain Authorized Dealership. : In a situation where Beneficiary changes his/her residence : Officers' Information"
Departments,Department of Technical Education & Training, +94 - 11 -2449136,S. Balasubramaniam ,,[u' +94 - 11 - 2348896 / +94 - 11 - 2348897'],['http://www.dtet.gov.lk'],, Director General ,, Olcott Mawatha,Colombo 10,P.O.Box 557,Director General,S. Balasubramaniam,+94 - 11 - 2348896 / +94 - 11 - 2348897,Improving of International Cooperation for Development of Technical Education. : Communication with World Community in Coordinating with IVETA. : Build the Cordination with Secondry Education Sector in Giving Priority for Inovations. : Development Programmes for Private Public Partnership : Implementation of Technical Education Development Programmes - Specialized for North East Provinces : Enrollment of Students for the Courses of Colleges of Technology/Technical Colleges : Sit for Exams and Obtaining of Certificates : Carrier Guidance and Counseling : Placement for Employment : Awareness Programme for Entrepreneurship Development : Certificates for Vocational Competencies
Departments,Department of Survey,011-2369343,Mr. K.D. Parakum Shantha - dsgit@survey.gov.lk ,dsgit@survey.govt.lk ,[u' 011-2368101'],['http://www.survey.gov.lk'],0112369011-13 (General Numbers), Deputy Serveyor General (IT) ,,,,Location Map,Surveyor General,Mr. P.M.P Udayakantha - sg@survey.gov.lk ,011-2368569,Viewing of Cadastral Parcel Survey Data /Geo-Spatial Data Service/Investor's Guide for Reserves : How to Purchasing of Maps :  Sub division/Amalgamate of land which has issued a title certificate : Obtaining of geodetic coordinates and conversions of coordinates : Investigations of public complaints on surveys : Issue of Licensed Draughtsman Certificate : How to get a copy of a Survey Plan : Purchasing of  digital maps 
Departments,Department of Rubber Development,011 2304813, ,rubbdev@gmail.com,[u' '],['http://www.rubberdev.gov.lk'],011 2395561 ,  ,,Vauxhall Lane,Colombo 2.,No. 55/75,Director General,Mr. R.B. Premadasa,011 2304812,Rubber Land Regisration : Issuing of permits to plant rubber  : Rubber Cess Registration
Departments,Department of Registration of Persons,+94-11-2862290,Mr. A.P.G. Roshan Amarasinghe ,info@drp.gov.lk,[u' +94-11-5226100'],['http://www.drp.gov.lk'],+94-11-5226126, Assistant Commissioner (Operations) ,,,,"Department of Registration of Persons10th Floor""Suhurupaya""Sri Subhuthipura RoadBattaramulla.",Commissioner General,Mr.P. Viyani Gunathilake,Contact: +94-11-2862255,Obtaining a New Identity Card : Amending Information on Issued Identity Cards : Obtaining Duplicate Identity Card Copies : One Day Service
Departments,Department of Registrar of Companies,+94-11-2689211,Mrs. P.P.S.Harshanie ,registrar@drc.gov.lk,[u' 011-2689215'],['http://www.drc.gov.lk'],+94-11-2689208 / +94-11-2689209, Registrar of Companies (Attending  Duty) ,Colombo 10.,No. 400,D R Wijewardena Mawatha,"""Samagam Medura""",Registrar General of Companies,Mr. .D.N.R. Siriwardena,112689212,Incorporation of Companies : Foreign Company : Public Contract : Companies Auditors : Companies Secretaries :  සමිති
Departments,Department of Social Services,112186276,Mr. Pradeep Yasaratne ,dirss@sltnet.lk,[u' 0112187050 '],['http://www.socialservices.gov.lk'],112187040, Director ,,Sethsiripaya Stage II,Battaramulla.,Department of Social Services 2nd Floor,Director,Mr. Pradeep Yasaratne,"Tele : 0112187040
Fax : 0112186276
E-Mail : dirss@sltnet.lk / dirssdss@gmail.com&",Vocational Training for Persons with Disabilities : Early Investigation & Rehabilitation of Disabled Children : Obtaining relief for Voluntary Social Service Organizations. : Public assistance and assistance for ailments : Organization of Training Programmes : Rehabilitation of Drug Addicts : Maintenance of the Trust Fund for Rehabilitation of visually handicapped persons
Departments,Department of Registrar General,+94-11-2889491,Mr. S.M.W.B. Sandiligama ,info@rgd.gov.lk,[u' +94-112889518/+94-112889495'],['http://www.rgd.gov.lk'],+94-11-2889488 / +94-11-2889489, Senior Deputy Registrar General ,Sri Lanka.,Denzil Kobbakaduwa Mw,Battaramulla,No: 234 /A3,Registrar General,Mr. Neel De Alwis,+94-112889490,Registration of Births Occurred at Home : Registration of a Birth Occurred in a Rural Hospital : Registration of a Birth Occurred in a General Hospital : Registration of a Birth Occurred in a Private Hospital : Registration of a Birth Occurred in a Registered Estate : Registration of a Birth Occurred at a Foreign Country : Registration of a Past Birth : Alteration of Information in a Birth Register : Rectification of Errors in the Certificate of Birth : Issue of Probable Age Certificates : Adoption of a Child : Obtain a Certified Copy of the Certificate of Birth : Translate Certificate of Birth : Registration of Marriages (General) : Registration of Kandyan Marriages : Registration of Marriages by a Christian Minister : Correcting Errors in the Certificate of Marriage (General) : Correction of Errors in the Certificate of Marriage (Kandyan) : Obtain a Certified Copy of the Certificate of Marriage : Translate Certificate of Marriage : Divorce of a Marriage Registered Under General  Marriage Ordinance : Divorce of a Kandyan Marriage : Registration of a Death Occurred at Home : Registration of a Death Occurred in a Rural Hospital : Registration of a Death Occurred in a General Hospital : Registration of a Death Occurred in a Foreign Country : Registration of a Death Occurred in a Private Hospital : Registration of a death occurred in a registered estate : Registration of a Past Death : Alteration of Information in a Death Register : Obtain a Certified Copy of the Certificate of Death : Translate Certificate of Death  : Registration of Documents : Rectification of Registered Documents : Obtain a Certified Copy from Registered Documents in Land Registries : Registration of a Power of  Attorney : Cancellation of a Power of Attorney : Obtaining Notary license : Obtain Vital Statistical Information
Departments,Department of Probation and Child Care Services(central),+94-11-2852393,Miss. Nirmalee Priyangani Kumarage ,pcc@sltnet.lk,[u' 011-2853582'],['http://www.probation.gov.lk'],+94-11-2853596/+94-11-2853549, Asistant Commissioner(Admin) , Nugegoda,L.H.P Building,Nawala Road,No 150A,Commissioner,Mrs. Yamuna Perera,011-2853549," Taking measures to effect Amendments to existing Acts and Ordinance related to children : Programme of children's Clubs Children's Councils : Recommendation of beneficiaries qualifiies  for assistance children’s fund, after identifying them : Assisting the rehabilitation of street children and institutionalized  children : Programmes for Financial Assistance for Twins and Payment of medical Assistance : Co-ordinating between the  Provincial  Probation and Probation and Child Care Services : Conducting National Training Programmes  : Taking measures to promote the Rights of the child : Assisting investigating child abuse complaints : Programme for Schooling  of Non-School Going Children"
Departments,Department of Railways,+94 11 2 446490,Mr.K.J.A.G.P Jayawardhana ,gmr@railway.gov.lk,[u' '],['http://www.railway.gov.lk'],+94 11 2 421281 , Assistant Director (ICT) ,,P.O. Box 355,Colombo.,Railway Headquarters,General Manager of Railways,Mr. S.M Abeywickrama,,Reservation of seats in Trains through Mobile Telephones : Reservation of Seats  in Trains : Reservation of Air-conditioned Train : Reservation of  Railway Holiday Resorts  : Reservation of Special Trains : Reservation of a Compartment of a Train : Reservation of Railway Retiring Rooms : Displaying Advertisements at Railway Premises : Photographing or Filming in Railway Premises  : Transporting Goods by Railway Wagons : Railway Premises for Business Purposes : Transporting Parcels by Train
Departments,Department of Prisons,+94 11 4 677180,Ms.R.H.J.Perera ,prisons@sltnet.lk,[u' +94 11 2699351'],['http://www.prisons.gov.lk'],+94 11 4 6777177, Director Planning ,,Baseline RoadColombo 09,,No.150,Commissioner General of Prisons,Mr.Chandhrarathna Pallegama,"+94 11 2 691976, +94 11 2 673978",
Departments,Department of Posts,+94-112-44 0555, ,,[u' '],['http://http://www.slpost.gov.lk'],+94 -112-32 5111,  ,Colombo 01.,310,D. R. Wijewardana Mawatha,Postal Head Quarters,Postmaster General,Mr. D.L.P.Rohana Abeyaratne,,"Money Order  : Ordinary Money Order : Dispatch of Telegraph Money Order : Obtain of a Fax Money Order : Re-validating of a Lapsed Money Order : Action to be Taken in case of Loss of a Money Order (Local) : Foreign Money Orders and British Postal Orders Service : Value Payable Post : Obtain of Postal Identity Card : Opening a Savings Account : Deposits to Savings Account : Withdrawals from the Savings Accounts : Opening of a Minors Savings Account / Opening of a HAPPY Children' Savings Account : Withdrawals from Minor's Account : Obtaining a Post Office Box Number : Obtaining a License for Using a Postal Stamp : Investigation into Loss of Ordinary Letters in the Post : Registration as a Newspaper in the Department of Posts : Obtaining the Business Reply Covers and Card Service : Bulk Postal Facilities Under the Bulk Post Numbers : Inquiries Relating to Registered Articles : Obtaining a Certified Copy of the Delivery Receipt of the Registered Article : Withdrawal of a Letter Already Posted : Dispatch of a Foreign Parcel : Dispatch of Local Telegrams : Sending Foreign Telegrams : Use of Tele Mail Service : Payment of Motor Vehicle Fines : Payment of Examination Fees : Broadcasting of Obituary Notice Over the Radio : Complaints on Foreign Posts : Dispatch of Letters, Printed Matter, Post Card, Small Packets and Express Letters  : Receipt of Letters, Small Packets and Express Letters Sent by Air Mail and Sea Mail : Handing Over of Letters and Other Postal Articles to be Sent Through Express Post : Instant Receipt of EMS Goods Sent From Foreign Countries for Delivery in Sri Lanka : Books or Magazines Imported is Bulk From Other Countries : Business Postal Facilities"
Departments,Department of Police,+94-11-234553, ,telligp@police.lk ,[u' +94-11-2421111'],['http://www.police.lk'],+94-11-2421111 / +94-11-2327711-2-3, Director (PPR) ,,  Colombo 01,,Police Head Quarters,Inspector General of Police,Mr Pujith Jayasundara,+94-11-2421111,Animal Ordinance act : An organization in Sri Lanka Requesting a Clearance Certificate of a Potential Employee : Requesting Clearance Certificate Sri Lankan Living in Sri Lanka to Seek Employment Abroad : Obtain Clearance Certificate by Sri Lankan Living Abroad Seek Employment in the Country : Complain About Any Rape Cases or Child Abuse : Complain Regarding a Child Used as Servant or Laborer : Complain Relating to Missing Driving Licenses : Complain Relating to Missing NIC and Electronic Equipments. : Complain Relating to Missing Passports. : Complaints Directed to the Crime Branch : Examining Motor Accidents : Extracts of Complaints for Minor Disputes : Obtaining Assistance in Filling Insurance Forms : Obtaining Fine Receipts and Payments : Obtaining of Gun / Air Gun/ Explosive Permits for the First Time : Requesting for Renewal of Gun Permit on a yearly basis : Obtaining of Loud Speaker Permits : Obtaining of Procession Permits
Departments,Department of Pensions, +94-11-2342078, ,info@pensions.gov.lk,[u' '],['http://www.pensions.gov.lk'],Hotline	---1970      /  +94-11-2209800 / +94-11-5927106 / +94-11-2209858,  ,,Colombo 10.,,Maligawatta,Director General of pensions,Mr. A.Jagath D.Dias,+94-11-2431647,e-Services : Pension payment days during year 2018 : Pension Registration : Civil Pensions Scheme : Railway Warrants  : Widows’/Widowers’ & Orphans’ Pension Scheme : Public Service Provident Fund
Departments,Department of National Zoological Gardens,0094 – 11 –2734542,Mr.Duminda Jayarathna ,zoosl@slt.lk,[u' '],['http://www.colombozoo.gov.lk'],0094–11–2712752 / 0094–11–2712753,  ,,Dehiwala.Colombo.,,Anagarika Dharmapala Mawatha,Director ,Mr.Duminda Jayarathna,,Aquarium of National Zoological Gardens : Animal Hospital of the National Zoological Gardens : Nutrition Section of National Zoological Gardens : Museum of the National Zoological Gardens : Visitor Information : Reach to Pinnawala Elephant Orphanage
Departments,Department of National Museums,+94 11 2692092, ,nmdep@slt.lk,[u' +94 11 2694767 '],['http://www.museum.gov.lk'],+94 11 2694767: +94 11 2695366, Information Technology Assistant ,, Sir Marcus Fernando Mawatha,Colombo 7,P.O. Box 854,Director,Mrs. Sanuja Kasthuriarachchi,+94 112695366,Museum Mobile Bus : Museum Visit : Photographs & video : School Projects : Museum Publications : Reservation of  Museum Auditorium : National Museum Library : Free guide lecture service : Museum Leaflets : Educational Programmes : Mobile Exhibitions
Departments,Department of National Botanic Gardens,+94-81-2388238,"Dr. D.S.A. Wijesundara, Director General ", dirnbg@sltnet.lk,[u' '],['http://http://botanicgardens.gov.lk/'],Director General +94-81-2388238: General +94812388654,  ,Sri Lanka,P O Box 14, Peradeniya,Department of National Botanic Gardens,Director General,Dr. D.S.A. Wijesundara,,Plant Identification and Information Service : Purchasing plants and planting materials  : National Floriculture Development Program “SUWAHAS MAL” : education and training programmes : Visit to Peradeniya Botanic Gardens  : Tree care and maintenance : Visit to Hakgala Botanic Gardens : visit to Gampaha Botanic Gardens : Ganewatte Medicinal Plant Garden : Development of New Botanic Gardens
Departments,Department of Motor Traffic,+94-11-2694338,Mr. Upul Priyantha de Silva ,e.dmts@sltnet.lk,[u' 0729054839'],['http://www.dmt.gov.lk'],+94-11-2698717, Investigation officer , Colombo 05. .,  Elvitigala Mavatha, Narahenpita,No: 581-341,Commissioner General,Mr. A.H.K. Jagath Chandrasiri,+94-11-2698717,Documents required to be submitted for the first registration of a motor vehicle : Registration of  Motor cycles with cylinder capacity less than 50 ( Moped) : Documents required  for normal transfer of  the registered  ownership of  motor vehicle.   : Documents required  for same day transfer of registered ownership  of a Motor vehicle. : Chargers levied for registration of new vehicles : Charges for transfers of vehicles-One day service : Charges for vehicle transfers : Obtaining a New Driving License : Obtaining a Duplicate of a Driving License : Obtaining a Temporary Driving License : Renewing of Driving License : Extending Validity of Driving License : Obtaining a Certification for Driving License : Obtaining a Driving License Card in Replacement of an Old License Booklet : Obtaining a New Driving License with Amended Names / Addresses / Classes : Registering a New Motor Vehicle : Registration of Transfer of Motor Vehicle
Departments,Department of Meteorology,+94-11-2698311,Duty Meteorologist ,meteo1@sltnet.lk,[u' '],['http://www.meteo.gov.lk'],+94-11-2694846: +94-11-2694847: +94-11-2681647, Duty Meteorologist ,Sri Lanka., Bauddhaloka Mawatha,Colombo 07,383,Director General,Lalith Chandrapala,+94-11-2694104,Short Term Training Programmes Relevant to Meteorological Field and Resources : Weather Information and Forecasts (Daily/ Short Time) : Handling the Weather and Climate Scientific Studies and Projects : Astronomical Data/ Tides and Other data/ Meteorological Publications : Installation of and Graduation of Meteorological Equipment : Obtaining Meteorological Data : Obtaining Detailed Meteorological Reports for Insurance Claims : Educational Visits and Awareness Programmes for School Children. : Contribution for the Meteorological Exhibitions
Departments,"Department of Measurement Units, Standards and Services ",+94-11-2597756,Acting Director ,dir@measurementsdept.gov.lk,[u' '],['http://www.measurementsdept.gov.lk'],+94-11-2588914,  ,Sri Lanka.,Park Road,Colombo-05,No: 101,Acting Director,Mr. K. Premasiri Kumara,+94-11-2583261,"Obtain Pattern Approval for weights, Measures, Measuring instruments : Registration of Manufacturers of weights, Measures and weighing or Measuring Instruments : Registration of Sellers of weights, Measures and weighing or Measuring Instruments : Renewal of Licenses - Repairers, Manufacturers and Sellers : Verifications of weights, Measures and weighing or Measuring Instruments : Calibration of weights, measures and weighing or measuring Instruments : Complaints on violation of the Act : Inform about prepackaging items : Registration of Repair Persons / Agency of weights, Measures and weighing or Measuring Instruments"
Departments,Department of Inland Revenue,+94 11 2 337777,Mr. S.S.D. Weerasekara ,cgir@ird.gov.lk,[u' +94 11 2 135410'],['http://www.ird.gov.lk'],+94 11 2 135135, Senior Commissioner ,,Sir Chittampalam A Gardiner Mawatha,P.O. Box 515Colombo 02.,Inland Revenue Building,Commissioner General ,Mr. Ivan Dissanayake,+94 11 2 334400,Obtaining a Taxpayer Identification Number (TIN) : Obtaining a Temporary VAT Certificate : Alternation of Name or Address in the Already Issued TIN Certificate : Obtaining Tax clearance Certificate
Departments,Department of Land Commissioner General’s,0112 - 864051,Mr. Asantha Gunasekara ,info@landcom.gov.lk,[u' 0112 - 797410'],['http://www.landcom.gov.lk'],+94-11-2797400, Deputy Land Commissioner ,,Rajamalwatththa Road,Battaramulla.,Mihikatha MeduraNo:1200/6,Land Commissioner General,Mr.R.P.R.Rajapaksha,,"Obtain of Long Term Lease Bonds For the purposes of Residential/Cultivation/Commercial : Obtain of Long Term Lease Bonds for Special Projects : Obtain of Long Term Lease Bonds for Residential Purpose : Releasing of Lands to Government Departments : Obtain of Grants to Buddhist Temples which are Presently Developed : Obtain of State Lands for Various Endeavor on Short Terms Leases : Obtain of Ranbima Grant : Obtain of Instruments of Disposition : Permitting Mortgaging, Transferring Instruments of Disposition : Obtain of Instruments of Disposition : Obtain of Grants Without Conditions to the people Who had been Issued with Grants with Conditions : Obtain of Grants for the Permits Issued to the Middle Class"
